,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd3_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_top_CO2_fd1_scaled
0,0,0.9251810136765889,0.9249418646265565,0.9138753368846289,0.9689979944949172,2.302154095522744,-0.22282833263351615,-0.45769649187485084,3.3729976004603,1.622067098849145,0.13845534995977474,0.10008045052292842,0.09943684633950121,0.08230088495575223,0.08069187449718425,0.06773934030571198,0.05374094931617053,0.04867256637168138
1,1,0.9251810136765889,0.9248022862620848,0.9120667337839781,0.9729267941895585,1.9132840078257611,0.08139335721369267,-0.7555981036923777,3.5788344760972324,1.618509568374332,0.15430410297666936,0.08825422365245376,0.09565567176186648,0.10185036202735318,0.08181818181818183,0.06902654867256637,0.04352373290426385,0.05341914722445693
2,2,0.9259855189058729,0.9254222785973896,0.9100159489633174,0.9622618529795565,2.5975673376883495,0.2260502819748263,-0.9605260425622512,3.384384139026396,1.247240159306066,0.16307320997586489,0.10088495575221239,0.11005631536604987,0.09782783588093326,0.08246178600160903,0.07835880933226066,0.05446500402252612,0.05921158487530167
3,3,0.9283990345937249,0.9281131755458146,0.9180803407505325,0.9719270595014151,3.0479428798524846,0.15542201422112573,-0.7821004752158374,2.9512411704267616,1.1901145682146015,0.153419147224457,0.10176991150442478,0.09718423169750606,0.08769106999195497,0.05993563958165726,0.0949316170555109,0.05189058728881735,0.0469026548672566
4,4,0.9300080450522928,0.9294009527992253,0.9120687108590335,0.9716146756469337,3.0310873504791607,-0.11566251192497132,-1.212892362892774,2.5725045226555174,2.1842808139730163,0.1830249396621078,0.1081255028157683,0.11045856798069184,0.11174577634754626,0.08254223652453743,0.07377312952534192,0.04448913917940465,0.0563153660498793
5,5,0.9332260659694288,0.9333791376505177,0.9255453132536577,0.9748944506970124,1.890978692111911,-0.36879868939193183,-0.7175418989499986,3.705682109788603,1.9958723481365785,0.17304907481898635,0.10627514078841513,0.10152855993563961,0.11069991954947707,0.0654867256637168,0.06001609010458566,0.04569589702333064,0.06090104585679805
6,6,0.9292035398230089,0.9290207556265221,0.9171084960558644,0.972849535050492,2.4459697760429933,-0.39265960875086653,-0.7371841379556177,3.4619499680228576,1.8068224332505358,0.17393403057119874,0.09380530973451331,0.08294448913917943,0.11214802896218823,0.085277554304103,0.06701528559935639,0.05148833467417535,0.04456958970233303
7,7,0.9243765084473049,0.9236606303409105,0.9040034631000716,0.9650585144494864,2.776325767798414,-0.2620823602301237,-0.7794162473227727,3.025148612990225,1.8750931411863911,0.16387771520514888,0.10217216411906675,0.08736926790024137,0.10450522928399034,0.07964601769911506,0.06773934030571198,0.05446500402252612,0.07135961383748994
8,8,0.9275945293644409,0.9279198729528235,0.9181962338336754,0.9718403026781078,2.682627396047295,-0.27069167027768304,-0.7197657393587887,2.937681654541988,1.970037071239196,0.1682220434432824,0.09903459372485922,0.10450522928399035,0.1082864038616251,0.07940466613032986,0.07835880933226066,0.05349959774738533,0.05454545454545452
9,9,0.9251810136765889,0.924562082100306,0.9104895204061374,0.9694149011599875,2.677748510397743,-0.22329194696447463,-0.8791635277616512,3.26112821523845,1.6744573776907452,0.15599356395816574,0.09501206757843927,0.1003218020917136,0.11745776347546255,0.06878519710378117,0.06484312148028962,0.04006436041834268,0.06460176991150442
10,10,0.9267900241351569,0.9263125653228164,0.9120696638315107,0.9733321761268299,2.239777135876878,-0.4975968160001319,-0.6911790746152361,2.993122317318703,2.5825204709531304,0.15237329042638778,0.1018503620273532,0.08994368463395015,0.08938053097345136,0.07763475462590508,0.07280772325020113,0.039742558326629096,0.05148833467417535
11,11,0.918744971842317,0.9179367329390189,0.8986163196689512,0.9665336280168817,2.4930165739050696,-0.20976669620123534,-0.7316828381290488,3.1605064121850766,1.9467463394855105,0.15695897023330652,0.1025744167337087,0.08310539018503621,0.09879324215607399,0.08728881737731295,0.07063555913113435,0.03925985518905868,0.04609814963797261
