,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.left_CO2_vd_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled,feature_importance.left_CO2_vd_fd1_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled,feature_importance.leftlow_CO2_fd1_scaled
0,0,0.9709090909090909,0.9709090909090909,0.9532551419343872,0.9948155702872684,3.6786513422940263,0.32231076211276455,1.8610093665694796,0.7586928318416228,1.4737128175930765,0.11781818181818186,0.006545454545454588,0.0043636363636363916,0.0036363636363636598,0.0036363636363636598,0.003272727272727294,0.003272727272727294,0.003272727272727294,0.0,0.0,0.0,0.0
1,1,0.9709090909090909,0.9712957362272431,0.9679068208479973,0.9951399363164068,2.9278104317775844,-0.11725136230938377,2.150814892713298,2.030920448288958,1.2916023347394503,0.1374545454545455,0.01490909090909095,0.003272727272727294,0.0021818181818181958,0.000363636363636366,0.004000000000000026,-0.0003636363636363549,0.000727272727272732,-0.0036363636363635488,0.0021818181818181958,0.0,0.0
2,2,0.9709090909090909,0.9709090909090909,0.956842435655995,0.9968612680477088,3.7702892770209195,0.27937036055660946,2.4713370225213165,1.087888751966507,0.48450615667713176,0.08036363636363639,0.002181818181818229,-0.00036363636363633266,0.007636363636363696,-0.00363636363636356,-0.0072727272727272085,-0.009818181818181771,-0.0010909090909090647,-0.0003636363636363438,-0.006909090909090842,-0.0014545454545454306,-0.0032727272727272384
3,3,0.9563636363636364,0.955110101525196,0.9076935457910833,0.9875261548366329,3.31955848213096,0.2642934546983249,2.330830633756755,1.6991228655956117,0.44719237076959173,0.05963636363636369,0.009454545454545504,0.004000000000000026,0.0003636363636363993,0.000363636363636366,0.000363636363636366,-0.0003636363636363549,0.0036363636363636598,0.003272727272727294,0.0,0.0036363636363636598,0.0
4,4,0.9672727272727273,0.9663768413925368,0.9296875,0.9976303317535544,3.2411754093953697,0.317442482824754,2.4656149960161997,1.0722515364133485,1.0405789443541844,0.1,0.013090909090909097,-0.002909090909090928,0.00690909090909092,-0.000363636363636366,0.005090909090909123,0.0043636363636363916,-0.0040000000000000036,0.001454545454545464,0.000363636363636366,-0.0036363636363636598,0.0
5,5,0.9527272727272728,0.9525552799260665,0.9204487506374299,0.9912459629440762,2.7264454346289173,0.8943654878234161,2.036525104545398,1.3296125076768452,1.1622826377249553,0.1141818181818182,0.008363636363636396,0.0043636363636363916,0.0043636363636363916,0.000363636363636366,-0.0018181818181818299,0.003272727272727294,0.0036363636363636598,-0.000363636363636366,0.0021818181818181958,0.0036363636363636598,0.0025454545454545617
6,6,0.9672727272727273,0.9670087830746285,0.9473684210526316,0.9968827026243294,3.157276496075173,0.3369671641675657,2.2457597443767323,1.3982918039895162,1.1031821463967642,0.1450909090909091,0.0010909090909090979,-0.0018181818181818299,-0.0007272727272727208,-0.000363636363636366,-0.0010909090909090979,-0.000727272727272732,-0.0010909090909090979,0.0018181818181818299,-0.000727272727272732,-0.0036363636363636485,-0.0018181818181818299
7,7,0.96,0.9598334297281665,0.9264867841409692,0.9949522760646108,2.9252629419772815,1.2005810332815519,1.813899699685423,0.7455415014092572,1.2547945633052533,0.0876363636363636,0.011999999999999966,-0.00545454545454549,-0.002181818181818207,-0.006909090909090953,-0.004000000000000026,-0.00545454545454549,-0.0025454545454545617,-0.005090909090909123,-0.004000000000000026,-0.003272727272727294,-0.006909090909090953
8,8,0.9636363636363636,0.9638842975206612,0.9493883023294788,0.9929612870789342,3.4307557750059874,0.28359316535145357,2.3339322188778033,1.672403082444523,0.5990958034317317,0.1145454545454545,-0.005090909090909113,-0.00945454545454546,-0.004727272727272758,-0.0018181818181818299,-0.011636363636363622,-0.010545454545454525,-0.009818181818181837,-0.01018181818181817,-0.009090909090909094,-0.0065454545454545765,-0.009818181818181804
9,9,0.9636363636363636,0.9636363636363636,0.9335748792270531,0.9906280193236715,2.9973466634271437,0.4484085404893473,2.3002536456821265,1.129036835319294,1.3390267955184374,0.09527272727272727,0.006909090909090876,-0.000727272727272732,0.0025454545454545396,-0.0036363636363636598,-0.001454545454545464,-0.002909090909090928,0.003272727272727294,0.0029090909090909054,0.000727272727272732,-0.000363636363636366,-0.0025454545454545617
10,10,0.9709090909090909,0.9705764597359325,0.9483856635071091,0.9963714454976303,3.260201381287774,0.4976080371617737,1.770306947889118,1.1480362505682618,1.407817089712087,0.09527272727272731,0.006909090909090953,0.0036363636363636598,0.0061818181818182215,0.000727272727272732,0.003272727272727294,0.000363636363636366,0.0010909090909090979,0.002909090909090928,-0.0032727272727271937,0.0,0.0
11,11,0.9672727272727273,0.9671536553334305,0.9438211796702363,0.9955804861465238,3.3122195760101305,-0.12091918316983324,2.2512517525684252,1.2054046287598092,1.489052199699619,0.11272727272727275,0.009818181818181827,0.0025454545454545617,0.001454545454545464,-0.000363636363636366,0.0025454545454545617,-0.000363636363636366,-0.0014545454545454527,0.001454545454545464,-0.001454545454545464,-0.0036363636363636598,-0.0021818181818181737
12,12,0.9527272727272728,0.9535435236090544,0.9413590893411521,0.9943083822007589,1.7767598355910117,0.4162566563455721,1.6570871062257164,3.266411164088022,0.7813932925805003,0.18581818181818183,0.0058181818181818334,-0.007999999999999985,0.0018181818181818299,0.000727272727272732,-0.0018181818181818188,0.000727272727272732,-0.005454545454545445,0.0018181818181818299,0.0025454545454545617,-0.0018181818181818299,-0.000727272727272732
13,13,0.9890909090909091,0.9890522447742759,0.9792190380425674,0.9987430869783811,3.0740723709219364,0.38413467960932196,1.6881735708148535,1.8226430962962474,1.1314141067889283,0.13818181818181824,0.01163636363636369,0.0,-0.0007272727272726986,0.004000000000000026,0.0018181818181818299,0.000363636363636366,0.0,0.0,0.0014545454545454861,0.003272727272727294,0.0
14,14,0.9709090909090909,0.9707386102483392,0.952635165833712,0.9953051643192488,3.2839055262885317,0.652803344807232,2.02273423561128,1.2369476179159842,0.9488150016260668,0.12436363636363641,0.01054545454545458,0.0,-0.0010909090909090534,-0.0003636363636363549,0.001454545454545475,-0.0003636363636363549,0.00036363636363637706,0.0,0.0,0.0,-0.002909090909090839
15,15,0.9345454545454546,0.9334766803102111,0.8960246842709529,0.9869402985074627,2.3075157911309874,1.4033339588234799,2.947422515843089,0.9207688172070955,0.6602670403909684,0.10109090909090912,0.012000000000000021,-0.00727272727272722,0.001090909090909109,0.000363636363636366,-0.002545454545454551,0.0,-0.013818181818181795,-0.006181818181818144,-0.003999999999999992,-0.0036363636363636598,-0.002545454545454551
16,16,0.9636363636363636,0.9630856888209829,0.9272055073941867,0.9932857385687575,2.786614955607138,0.49437644174945794,2.440234525562128,1.1752739085900425,1.3889157477754728,0.1290909090909091,0.008363636363636328,0.0036363636363636598,-0.0021818181818181958,0.0,0.0010909090909090979,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0.9490909090909091,0.9487438016528925,0.9148727984344422,0.9890737116764514,2.2110601532903984,1.0799446680709917,1.7124225749694453,1.9420482880350363,1.4103444480368676,0.12581818181818183,0.009818181818181837,-0.0036363636363636598,-0.0010909090909090979,-0.000727272727272732,-0.000363636363636366,-0.0036363636363636598,-0.002909090909090928,-0.0018181818181818299,-0.002909090909090928,-0.0036363636363636598,-0.003272727272727294
18,18,0.9345454545454546,0.9331204222317966,0.8923344700198921,0.9907644217107133,2.9397097359521034,0.668307730543044,2.4198453999472536,-0.07056960519933936,2.204665125989581,0.0650909090909091,0.013454545454545474,-0.005090909090909079,-0.0007272727272727208,0.003272727272727294,0.0010909090909090979,-0.0032727272727272826,-0.0069090909090908535,-0.000727272727272732,0.000363636363636366,-0.005454545454545434,0.0025454545454545617
19,19,0.9672727272727273,0.9668736212445231,0.945802264567799,0.9946147473073736,2.8383532613722164,0.3033249642593681,2.5408367280145905,1.611352160218331,0.7673274440989333,0.0821818181818182,0.00690909090909092,-0.0065454545454544984,0.00436363636363637,0.0,-0.0032727272727272718,-0.000363636363636366,-0.0065454545454544984,0.000363636363636366,-0.0032727272727272826,-0.0010909090909090979,0.000363636363636366
20,20,0.9636363636363636,0.9639350553998132,0.9442889137737962,0.9944008958566629,3.0824984468921204,0.5062200662155207,2.260637790419646,1.3050182063607112,0.9917039415485385,0.11236363636363636,0.0003636363636363549,-0.006545454545454588,0.001454545454545464,-0.004727272727272758,-0.008363636363636384,-0.0072727272727273196,-0.0036363636363636598,-0.0010909090909090979,-0.0025454545454545617,-0.0021818181818181958,-0.005090909090909123
21,21,0.96,0.9595634028892456,0.926135411429529,0.9933802580861404,2.860981530618547,0.8499102777126192,2.275027792066084,1.3451824825756762,0.9372709621778946,0.1127272727272727,0.007999999999999952,0.0,-0.001818181818181841,0.0,-0.004000000000000026,0.0,0.0,-0.000363636363636366,0.0,0.0,0.0
22,22,0.9709090909090909,0.970491245962944,0.9409090909090909,0.9961157024793389,3.008724549240078,0.5389850872794367,1.8403859444062078,0.31014085980284317,2.2415475801436613,0.10254545454545458,0.014181818181818195,0.00545454545454549,0.0025454545454545617,0.001818181818181841,0.003272727272727294,0.003272727272727294,0.004000000000000026,0.0021818181818181958,0.000363636363636366,0.0,0.001454545454545464
23,23,0.9527272727272728,0.9522620220143558,0.9195137454314317,0.9930875576036867,3.3116738010091793,-0.005759709768278746,2.7777972197986434,0.6377040530109499,1.4873200397343738,0.045818181818181855,0.009454545454545493,0.0,-0.005090909090909079,-0.003272727272727294,-0.002909090909090928,-0.004000000000000015,-0.000363636363636366,-0.002909090909090928,-0.0036363636363636598,-0.002909090909090928,-0.0036363636363636598
24,24,0.9418181818181818,0.9401898319545378,0.8873351342761799,0.9891148895598283,2.853790940272728,0.6121515966875162,2.3004029145585547,1.661886113389295,0.5766922972881862,0.1516363636363636,0.007636363636363575,-0.0010909090909090979,-3.3306690738754695e-17,0.0,0.0032727272727271937,0.0032727272727271937,-0.000727272727272732,-1.1102230246251566e-17,-0.000363636363636366,-0.000727272727272732,0.0
25,25,0.9672727272727273,0.9669955080213904,0.9460159952606635,0.9944460900473933,3.8857652811765253,-0.16890540144722463,2.4023780740845964,1.1354458580700504,0.9290497695105934,0.07636363636363636,0.00763636363636363,0.007636363636363663,0.007636363636363641,0.0,0.004727272727272758,0.002909090909090928,0.003272727272727294,0.0010909090909090979,-0.003272727272727294,0.0043636363636363916,-0.000363636363636366
26,26,0.9563636363636364,0.9563636363636364,0.9336069531627234,0.9925961693223886,3.148306084360666,0.8114764395112735,2.0188822891420264,0.7832129005183138,1.403645220431344,0.09890909090909097,0.006909090909090953,0.0036363636363636598,0.0010909090909091202,0.0,0.0036363636363636598,0.0,0.000727272727272732,0.0,0.001454545454545464,0.0036363636363636598,0.0
27,27,0.9636363636363636,0.9631404958677686,0.9317157572831161,0.9938033156285209,2.695524975771951,0.736519915885874,2.3636350002806856,1.1384944157516934,1.3727207987191032,0.13127272727272726,0.013454545454545419,0.003272727272727294,0.0007272727272727208,0.0,0.0,0.0,0.000363636363636366,0.0,-0.000727272727272732,-0.0036363636363636598,0.0
28,28,0.96,0.9601417691609883,0.9393166751657318,0.9933707292197859,3.4456524533922646,0.6593162059342542,2.0735636171695924,0.6781374623370465,1.2611566183864862,0.10181818181818177,0.0018181818181817744,0.0007272727272727098,-0.0003636363636364104,-0.002181818181818218,-0.006545454545454588,-0.006545454545454588,-0.004000000000000026,-0.0025454545454545617,0.002545454545454484,0.0018181818181817744,-0.0036363636363636598
29,29,0.9781818181818182,0.9779975567545555,0.953928046989721,0.9955947136563876,2.8866957483489997,0.5068225178818359,2.5204266506522264,1.4935729164910545,0.6411609055282913,0.08799999999999995,0.011272727272727245,0.007272727272727231,0.0010909090909090758,-0.000727272727272732,0.0,0.000363636363636366,0.0040000000000000036,0.0,-0.001454545454545464,0.0,-0.006909090909090953
30,30,0.9563636363636364,0.9563636363636364,0.9352636534839924,0.9897206528562461,2.834565989939655,0.5888080300563195,2.1559940197692975,1.230235113828778,1.689011443459167,0.13527272727272732,0.00981818181818186,0.0,0.0010909090909090979,-0.0032727272727271937,-0.002545454545454484,0.0,-0.0003636363636363549,0.0,0.0,0.0,0.0
31,31,0.9527272727272728,0.9525798399701402,0.926789077212806,0.994428750784683,3.268469360169058,0.300033421814819,2.505980801892599,0.643579681540386,1.2648734975177454,0.03781818181818184,-0.005818181818181789,-0.0069090909090908535,0.0007272727272727431,-0.0040000000000000036,-0.005818181818181789,-0.0010909090909090868,-0.006909090909090865,-0.0018181818181818188,0.000727272727272732,0.0,-0.003272727272727294
32,32,0.9636363636363636,0.9638780169602087,0.95,0.9944628099173554,3.1690563336023745,0.19908199422701164,2.085332600134207,1.3132214384594783,1.3895669423150574,0.08218181818181816,-1.1102230246251566e-17,-0.0036363636363636598,0.004727272727272702,0.0036363636363636377,-0.005090909090909123,-0.0036363636363636598,-0.002909090909090928,-0.0010909090909090979,-0.00545454545454549,0.000363636363636366,-0.004000000000000026
33,33,0.9563636363636364,0.9566463280804179,0.9393754076973255,0.9931506849315068,2.874105820930869,0.6482754229736988,2.104643053253506,1.1504005550003977,1.4925235285018925,0.1283636363636364,-0.0003636363636363105,0.003272727272727294,1.1102230246251566e-17,-0.0036363636363635488,-0.0032727272727271937,-0.0032727272727271937,-0.0039999999999999255,-0.0021818181818181294,-0.002909090909090839,-0.0032727272727271937,-0.0018181818181817744
34,34,0.9781818181818182,0.9780251263270131,0.958438076085135,0.9979051449639685,2.912187274570874,-0.06219696349418069,2.4077650876442878,1.319953920920151,1.6158042662862628,0.10981818181818177,0.008727272727272717,0.004363636363636359,0.000727272727272732,0.0029090909090909167,0.002909090909090928,0.0032727272727272826,0.0025454545454545617,0.0,0.0,0.002909090909090928,0.0
35,35,0.96,0.9588962798718896,0.910589835118137,0.9937956824749278,3.3756736742104834,0.29114246623077,2.190623909708882,1.2485871548783156,1.0240095587601732,0.12763636363636363,0.003636363636363582,-0.0036363636363636598,-0.0010909090909091202,-0.003272727272727294,-0.0036363636363636598,-0.009818181818181882,-0.006909090909090953,-0.003272727272727294,-0.006545454545454588,-0.005818181818181856,-0.006909090909090953
36,36,0.9672727272727273,0.9666927625232301,0.932933789954338,0.9953522504892368,3.1644668410877137,0.38525727304514656,2.0038950712271513,0.8600043766236637,1.6129879729780232,0.08872727272727274,0.01890909090909092,0.0036363636363636598,0.005818181818181845,0.0036363636363636598,0.0036363636363636598,0.003272727272727294,0.0036363636363636598,0.0036363636363636598,0.001454545454545464,0.004000000000000026,0.0036363636363636598
37,37,0.9672727272727273,0.9671680523374677,0.9476799618623868,0.9976958525345622,3.2730538101447277,0.12140683511894537,2.5350239401396197,0.897140571117651,1.3974817200237717,0.058909090909090925,-0.0014545454545454527,-0.000727272727272732,-0.00436363636363637,-0.004363636363636347,-0.0025454545454545396,0.0,-0.0072727272727272085,0.0,0.0,-0.0021818181818181958,-0.000363636363636366
38,38,0.9527272727272728,0.9525834885736619,0.9277131782945736,0.9910852713178294,3.586494326931377,0.6264432820053455,1.5477370064566722,0.7842689093239334,1.5355427470783503,0.1330909090909091,0.009454545454545493,0.00545454545454549,0.0,0.004000000000000026,0.004000000000000026,0.0,0.0025454545454545617,0.000363636363636366,0.0018181818181818299,0.006909090909090953,0.0
39,39,0.9636363636363636,0.9636363636363636,0.946705426356589,0.9958139534883721,2.5774586612394503,0.42945931358634754,2.5402141589238574,1.163601399697211,1.4400613057433254,0.08909090909090908,0.003999999999999971,-0.0036363636363636598,0.0003636363636363549,0.0,-0.0010909090909090979,0.0,-0.0036363636363636598,-0.000363636363636366,0.0,0.0,-0.000363636363636366
40,40,0.96,0.9595517039160747,0.9249532551419344,0.9950705422403536,3.4409292555299076,-0.10470718398092485,1.6682555528979337,2.0842927478935858,0.7491720158063503,0.14254545454545453,0.003272727272727205,-0.0025454545454545617,-0.0010909090909090979,0.0,0.0,-0.000363636363636366,-0.004000000000000026,-0.0007272727272727541,-0.001454545454545464,0.0,0.0021818181818181294
41,41,0.9418181818181818,0.9408202882987071,0.9034798534798535,0.9934798534798535,3.3072441319632015,0.41278536702498947,2.1712953519294502,0.5864269352303842,1.5647300250683058,0.11963636363636361,0.0018181818181817744,0.0,-0.0061818181818182215,-0.0018181818181818299,-0.0036363636363636598,-0.003272727272727294,0.0,-0.002909090909090928,-0.003272727272727294,0.0,-0.005818181818181856
42,42,0.9527272727272728,0.9529545167040423,0.9135499693439607,0.9914163090128756,3.096992394362578,0.06275156297205274,2.1013440929243927,2.1868835089638146,1.0259416033742708,0.10072727272727278,-0.008727272727272695,0.0,-0.000363636363636366,-0.005454545454545423,0.0,0.0,-0.000727272727272732,-0.000363636363636366,0.0,-0.002181818181818185,-0.007999999999999952
