,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_CO2_vd_fd3_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd1_scaled,feature_importance.B_CO2_vd_scaled
0,0,0.8141592920353983,0.8067086852603613,0.7642612098539832,0.8601059642227088,1.2599951663628377,-0.19893024076626684,1.0613317806785552,2.416246846921266,1.3001909616638914,0.11721641190667746,0.09058728881737735,0.07055510860820598,0.052695092518101436
1,1,0.8197908286403862,0.812436175178558,0.7698187832590249,0.8707176758233856,1.6076889169004331,-0.4164298304362589,1.0020150904337317,2.1966382932764494,1.4586931407256478,0.0951729686242961,0.07296862429605797,0.05848753016894618,0.05993563958165736
2,2,0.8149637972646823,0.807114467661021,0.7614673046251994,0.8485979411338263,1.67771927010383,-0.20279002345165748,0.8347277979830481,2.0537932055596424,1.4125913412327942,0.09871279163314566,0.06395816572807729,0.060257441673370916,0.053338696701528646
3,3,0.8077232502011263,0.800503313580878,0.7631001406612774,0.8685494941278152,1.178510302306301,-0.16452391135392283,1.033941668193864,2.0038722673039726,1.7551440576193773,0.10241351568785202,0.07457763475462591,0.06637168141592921,0.04971842316975067
4,4,0.8149637972646823,0.8084184355506477,0.7611130804679191,0.8587734845799362,1.4265106649458876,-0.3803545019067602,0.9968364008052851,2.3999564741390036,1.5735797033160779,0.09275945293644412,0.07658889782783589,0.06323411102172169,0.051166532582461864
5,5,0.830249396621078,0.8220782689638572,0.7690152503111397,0.8666476112212755,1.620658817731314,-0.4631022624797536,0.5925455273966572,1.991138635468223,2.0646803637627906,0.10434432823813349,0.07964601769911502,0.05720032180209169,0.060740144810941255
6,6,0.8165728077232502,0.8112885077395615,0.7684436829173671,0.8538994627511373,1.7600524100164059,-0.2878617385641851,0.40879836243588924,1.8309363612416143,2.0778121526860502,0.10772325020112636,0.08157683024939663,0.06596942880128724,0.05462590506838303
7,7,0.82864038616251,0.8220343411349641,0.772304155720086,0.8617954382612849,1.7118859872376926,-0.32019694256833187,1.0533127755566423,1.9021290481773292,1.594310813662753,0.10707964601769906,0.08471440064360411,0.05864843121480288,0.06275140788415123
8,8,0.827835880933226,0.8219982166421658,0.7665666188580331,0.8500581122184032,1.237059378158085,-0.6727424189302283,0.581561375379567,2.3834633666218723,2.3809067548440783,0.10884955752212384,0.07522123893805305,0.06347546259050682,0.061786001609010446
9,9,0.8101367658889783,0.8029323318140696,0.7644218497404918,0.8661901925749456,1.2007661640083667,-0.14638973513678255,0.9125739470335059,2.141243676470171,1.660596479962793,0.10080450522928404,0.06540627514078844,0.0592920353982301,0.06218825422365247
10,10,0.8109412711182623,0.8057932112576324,0.7668735173291674,0.8594862003124458,1.1324019710036872,-0.437527500077327,0.7488181648629189,2.177513542269901,2.17889100967639,0.09629927594529368,0.0757039420756235,0.05929203539823015,0.06275140788415128
11,11,0.8165728077232502,0.8046085452914848,0.7476399844820898,0.854019961675464,1.0559671410758564,-0.526326969638007,0.7176440854763901,2.1084879748635714,2.427238390817268,0.10072405470635563,0.07417538213998395,0.0641190667739341,0.05414320193081262
12,12,0.827835880933226,0.823645006106792,0.7874461269318997,0.8651464420603842,1.4332534729400472,-0.21891445468493315,0.9434213764841027,2.0842622974398046,1.6056018316543321,0.12035398230088493,0.09131134352373284,0.06419951729686242,0.07127916331456152
13,13,0.8222043443282381,0.8159927316001104,0.7725896321362933,0.872435018524461,1.3957194767063068,-0.24091294528633006,0.6058562669263737,2.3715907840611465,1.661343470958835,0.0946098149637972,0.07626709573612223,0.05969428801287204,0.05100563153660496
14,14,0.8189863234111022,0.8134846812214486,0.769833913048596,0.8646085303482411,1.285198950333607,-0.47636679185518715,1.1377372257827005,2.5820408942196162,1.4849998382687217,0.10056315366049884,0.06846339501206762,0.055993563958165814,0.05366049879324224
15,15,0.831858407079646,0.8280233078752435,0.7840913900157798,0.8622529488939004,1.4236954394035095,-0.34877310787995486,0.9326580140563256,2.176098627217515,1.7370980923916783,0.11102172164119062,0.0855189058728881,0.06347546259050682,0.06082059533386965
16,16,0.834271922767498,0.8270562571799812,0.7835635654126571,0.8648509793281804,1.451005436714324,-0.6011680488797589,0.6095384707452184,2.358914750967268,2.1449909434298307,0.11914722445695894,0.08527755430410293,0.0650844730490748,0.07232502011263073
17,17,0.82864038616251,0.8226863514842772,0.78160118868318,0.8663571378918831,1.5991241477549885,-0.2889084697973943,0.7074045475773737,2.1769744318994655,1.6009789120977151,0.11206757843925981,0.08954143201930806,0.07047465808527756,0.06709573612228478
18,18,0.82864038616251,0.8231032644162427,0.7851948156311706,0.881354181016669,1.209143777318518,-0.5521514660122606,0.8590497763032535,2.209565544899188,2.219184785312387,0.11802091713596134,0.08222043443282376,0.06082059533386965,0.06806114239742558
19,19,0.8423169750603379,0.8371604604247611,0.7964027432149825,0.8772972088839041,0.9643813040001125,-0.1943391861483817,1.0544845241993646,2.4397779379500477,1.457012687372413,0.11818181818181814,0.08930008045052293,0.07055510860820595,0.07393403057119871
20,20,0.8189863234111022,0.8113994986158259,0.7700058861851805,0.8506166207582322,1.1774503180179674,-0.20999231803948418,1.078987098308315,2.081198874521227,1.7486884108725942,0.10828640386162516,0.08270313757039423,0.06251005631536613,0.05156878519710386
21,21,0.8189863234111022,0.8096079430083947,0.7629900762260895,0.8566690637135048,1.0535558992349983,-0.2583128445694211,1.293681753921712,2.0901565089536103,1.5703999504563797,0.10024135156878525,0.07135961383748998,0.05060337892196307,0.05784392598551898
22,22,0.825422365245374,0.819765104121572,0.7740747330960854,0.8662959667852906,1.3510867828035467,-0.3119317429663777,1.1420315244261874,2.061133331739171,1.6330062898381124,0.0942075623491552,0.08294448913917933,0.05470635559131132,0.05510860820595331
23,23,0.8053097345132744,0.7980226307728141,0.7504329576141834,0.8486791123635082,1.4881608754710827,-0.30587500311455634,1.0986198931734623,2.0915196931562186,1.5011614717631225,0.1042638777152052,0.06958970233306516,0.06814159292035399,0.055752212389380565
24,24,0.7908286403861625,0.7801588523301607,0.7297129186602871,0.8516166449180804,1.0996470446199373,-0.2657792624650933,0.7474661865844272,2.240686899881713,2.054183731187027,0.08390989541432022,0.06363636363636363,0.041512469831053875,0.04617860016090105
25,25,0.82864038616251,0.8200418143980119,0.7739794153260682,0.8694170558726864,1.234212560811441,-0.4075651069327495,0.6340705016524136,2.157196410983454,2.1850023885902687,0.10530973451327427,0.09187449718423163,0.060498793242156054,0.06991150442477875
26,26,0.8197908286403862,0.8131602213843993,0.7651062367833386,0.8526190462087062,1.3043591910073447,-0.21165578495744164,1.0225722902080547,2.0954476507112894,1.6324793218410627,0.10345937248592121,0.08640386162510058,0.0647626709573613,0.04987932421560748
27,27,0.827835880933226,0.8186138296892445,0.7670430892449854,0.8758743616353861,1.6522634994554306,-0.3541777937272677,0.8728312190180298,1.74741879603749,1.8261170047085176,0.1040225261464199,0.07441673370876907,0.058487530168946075,0.05953338696701527
28,28,0.82864038616251,0.8223845604198956,0.7794307665444387,0.8510680402770503,1.091859375565111,-0.38778220534897095,0.5927989248370726,2.699263516320996,1.784789484284908,0.1119871279163314,0.08061142397425577,0.07441673370876908,0.07956556717618658
29,29,0.835076427996782,0.8286562887036599,0.7773527461264846,0.8700186893350214,1.3180725204739245,-0.4115998154161801,1.2016467135407476,2.201039713743741,1.621259794564449,0.11102172164119062,0.07715205148833468,0.0654867256637168,0.05470635559131132
30,30,0.82864038616251,0.8219952980665142,0.7748867109595345,0.8612858306092827,1.5631214761370078,-0.2529173727278088,0.7255090799036011,2.164380589850707,1.574374720358147,0.10756234915526945,0.08101367658889778,0.07023330651649233,0.05293644408688654
31,31,0.8189863234111022,0.8128391705549426,0.7647515944048449,0.8617825178198188,1.8106657160927868,-0.2732196807047786,1.1215132457304116,2.1026006854011796,1.1013260879965312,0.11029766693483514,0.07972646822204346,0.062188254223652525,0.05808527755430416
32,32,0.82864038616251,0.8203471856260837,0.7666929030565395,0.8671484621897845,1.04378996786956,-0.2638595287081266,0.8889332753939352,2.8225260295977135,1.2893402885452248,0.10104585679806913,0.0726468222043443,0.06251005631536603,0.05317779565567173
33,33,0.8238133547868061,0.8176651956980637,0.7681329288472145,0.8720742703661959,1.6447144832003946,-0.20432159644995,0.5317900552179147,2.358310456304982,1.4406650883543037,0.10241351568785191,0.07787610619469021,0.055671761866452105,0.06130329847144004
34,34,0.8366854384553499,0.8280792304486452,0.771268429829684,0.852757024256034,1.0151052743912672,-0.389704880544074,1.1851874376675084,2.6305330815988333,1.4037128002462707,0.1028962188254223,0.07361222847948512,0.058728881737731276,0.06226870474658084
35,35,0.825422365245374,0.8171871117107254,0.7705263157894737,0.8704306220095694,1.500040861044417,-0.3281955983051803,1.1687921966165857,1.5735066844717973,1.93352834512944,0.1036202735317779,0.080450522928399,0.06082059533386965,0.058728881737731276
36,36,0.8173773129525342,0.8104545455552251,0.7718387276468515,0.8513181678660346,1.3810852004101823,-0.17607558551401395,0.664626873984233,1.8777957054472232,1.97929954843367,0.10876910699919555,0.09026548672566374,0.06749798873692683,0.055108608205953404
37,37,0.8149637972646823,0.8066244567195969,0.7605840999826419,0.8619365850836082,1.4678250257403278,-0.34957475934018806,0.785112984434111,2.2752326583631604,1.6759118192914473,0.0946902654867257,0.06564762670957366,0.0622687047465809,0.05462590506838302
38,38,0.835076427996782,0.8283693698598967,0.7813606765078523,0.8643861044815699,1.141496970790151,-0.27149360084855756,1.2869535299270392,2.7638975764969955,0.972875833565716,0.1042638777152051,0.08028962188254223,0.06436041834271922,0.07176186645213191
39,39,0.8085277554304103,0.8021284725544265,0.7676202601373758,0.8568035929086146,1.4983974279668093,-0.2138949394955315,0.8161128894518599,2.193029316977383,1.5372499354338431,0.10836685438455355,0.07868061142397427,0.05446500402252621,0.05567176186645219
40,40,0.8157683024939663,0.8097478706749532,0.7701538904070185,0.8660578167697397,1.3354934080755738,-0.0009055472890857922,0.47062873073547506,2.381692504156555,1.4214594368220776,0.09702333065164928,0.08342719227674981,0.060176991150442546,0.06653258246178603
41,41,0.8230088495575221,0.8143149382463533,0.7581093980764382,0.8661041268926433,1.6900957643473749,-0.2796805407754828,0.7542160125096213,1.9361591007094727,1.7042009151398316,0.09887369267900234,0.07023330651649232,0.049959774738535766,0.04722445695897019
42,42,0.7940466613032985,0.785401632688828,0.744284854438394,0.8359954801233315,1.468708091455429,-0.22838518785729692,0.7923751752840501,2.614309267540063,1.2220326630380154,0.0949316170555109,0.06460176991150442,0.04971842316975057,0.060418342719227656
43,43,0.826226870474658,0.8204687618550209,0.7801654805300006,0.8712954926806689,1.4266839829298505,-0.15465533173690407,1.0756567853136298,1.6660714840728998,1.7657589124116764,0.113515687851971,0.07787610619469021,0.0654062751407884,0.05269509251810134
44,44,0.82461786001609,0.8141588757148376,0.7575671865466974,0.8516239093477707,1.4494454446199012,-0.4501939825643348,0.6370654857647877,2.2468887447150787,2.000249814081221,0.09629927594529357,0.07039420756234911,0.058970233306516476,0.052212389380530945
45,45,0.8069187449718423,0.8000026196760742,0.7541979576080854,0.8483559096013475,0.9217790853357335,-0.18250019171081966,1.0223114375828684,2.4035046919954377,1.7060677592842044,0.10651649235720037,0.06870474658085277,0.0599356395816573,0.05076427996781986
46,46,0.8165728077232502,0.8110642515757961,0.7687964977540708,0.8585035326595545,1.151535448479836,-0.37132349370947293,0.8130627176209904,2.530191792941559,1.6941861711760475,0.1039420756234916,0.07401448109412714,0.06709573612228484,0.06500402252614648
47,47,0.825422365245374,0.8189042897754953,0.782780756207675,0.8775112866817155,1.0723776960368947,-0.3827607907957122,0.778092372858403,2.5009324157380566,1.873277527213496,0.10716009654062746,0.08101367658889777,0.07200321802091708,0.07345132743362828
48,48,0.8149637972646823,0.8067663767522055,0.755012705765278,0.8507146622754278,0.8766524412885276,-0.3419683815424514,1.119136078507244,2.5543137512870326,1.6930238585499253,0.10595333869670158,0.07843925985518907,0.06114239742558332,0.052212389380531056
49,49,0.8157683024939663,0.8089357787113914,0.7651984949570609,0.8610796592750013,1.8674825465245923,-0.17204009776600768,1.1633130300400512,1.937418661471604,1.0586297343933182,0.10949316170555115,0.07715205148833469,0.057361222847948576,0.04891391794046668
50,50,0.825422365245374,0.8193020558393725,0.7729500535373075,0.8640862276015877,1.222647094821094,-0.2915444247662102,0.9228038915286978,2.4124796412876117,1.556162740042531,0.10788415124698306,0.0725663716814159,0.061866452131938844,0.04859211584875298
51,51,0.8117457763475463,0.8031049107121286,0.7527166255723847,0.8563343900434425,1.4753940363252933,-0.10953174441769854,0.9986743613250098,1.8820982485123283,1.537302860712844,0.09839098954143206,0.07015285599356398,0.05358004827031383,0.050522928399034675
52,52,0.8181818181818182,0.8106776367721172,0.7719489414694894,0.873935808898449,1.4993496590375504,-0.4109484702098163,0.6542387493924834,1.9566043352229063,2.108757101758782,0.10305711987127922,0.0766693483507643,0.06596942880128728,0.06041834271922775
53,53,0.8133547868061143,0.8053791303553776,0.7547589507266926,0.8637687581235969,0.9764992272598297,-0.3665501481639602,1.2170872544865325,2.373505541721927,1.7156452570574658,0.08334674175382142,0.06524537409493164,0.05551086082059542,0.043443282381335546
54,54,0.826226870474658,0.8188263434709135,0.7762497054953138,0.8762792996247579,1.1003331233786942,0.03565000248528487,1.2840623437971723,2.2291831452921373,1.0602510539826946,0.10225261464199512,0.07232502011263069,0.05840707964601768,0.06098149637972644
55,55,0.8222043443282381,0.8148083890846971,0.7633149678604224,0.8714297639917475,1.0830681926005834,-0.21009324966048432,1.0773614147704988,2.762747677755246,1.093686972481319,0.09766693483507635,0.0707964601769911,0.05317779565567173,0.05100563153660496
56,56,0.8133547868061143,0.8067433475584592,0.7556790930238135,0.8395405165591501,1.8405585951153276,-0.14282460847482203,0.7863553641488301,2.3259791987601344,1.0161340316690632,0.09927594529364445,0.07369267900241354,0.05897023330651656,0.048592115848753094
57,57,0.8173773129525342,0.8110792637166376,0.7650446389109873,0.8516662246972508,1.0981584675427503,-0.3533490572396371,1.0418716447014875,2.2043166065074726,2.0181952944468295,0.09525341914722449,0.08165728077232504,0.06130329847144013,0.047385358004827106
58,58,0.8125502815768303,0.8068490018147739,0.7657457569053716,0.8703061763664129,1.472978908433352,-0.19268673343905512,0.5527208671489336,2.0652500210243048,1.7225428353715657,0.09774738535800487,0.0749798873692679,0.06307320997586488,0.05470635559131143
59,59,0.8077232502011263,0.7999301192258631,0.7535140562248996,0.84030033176183,1.6851200388749679,-0.2070303864952887,0.9258580093526835,2.3313448567424864,1.2228316086771196,0.09967819790828644,0.07787610619469028,0.06894609814963797,0.06516492357200324
60,60,0.8222043443282381,0.8167450747697219,0.7800895500211446,0.8740327797652383,1.6866264023699167,-0.37629603120531385,0.4729527976699655,2.1673665443808154,1.8852476470458008,0.09654062751407877,0.07715205148833461,0.06122284794851164,0.05921158487530167
61,61,0.8101367658889783,0.802147341919155,0.7553256504277981,0.8473924684244223,1.521344653124371,-0.23196624096598936,0.5110434369153843,2.1990866037744623,1.7453548357084852,0.09219629927594533,0.07860016090104587,0.05687851971037818,0.06709573612228482
62,62,0.829444891391794,0.8223463672284832,0.7778639074212785,0.872486514420425,1.1522384703075959,-0.44012636826155915,0.4112450884819652,2.3632305421596103,2.220449113742751,0.10482703137570389,0.094368463395012,0.07079646017699112,0.06444086886564762
63,63,0.8165728077232502,0.8093495519610279,0.7676304128208661,0.8551596868255499,1.1491704431995695,-0.39367229621074296,1.1313926454942094,2.4798311735683356,1.5631253911065337,0.10989541432019315,0.07578439259855194,0.06653258246178603,0.06194690265486733
64,64,0.8205953338696702,0.8150517797880494,0.7704434006853362,0.8663417227933358,1.5367483787161031,-0.3683370990272153,1.1289693963679037,1.938575574745323,1.7517585542500154,0.09959774738535805,0.08149637972646825,0.05744167337087699,0.052534191472244654
65,65,0.8101367658889783,0.8002393123569946,0.7507496012759171,0.8468261562998405,1.288600256528223,-0.5745125887928452,0.8870930879316611,1.8682705266794561,2.5142820021453933,0.09798873692679007,0.06926790024135157,0.04963797264682227,0.05695897023330655
66,66,0.826226870474658,0.8202690115198061,0.7731690999375576,0.8622520888465999,1.7113588849384933,-0.1516745544590604,0.46962998889548585,2.2529179873363567,1.3908927313759982,0.11520514883346737,0.08399034593724851,0.055028157683024916,0.05374094931617053
67,67,0.825422365245374,0.8185769459155525,0.7758840901341377,0.8631574688928574,1.772731978617575,-0.32871689124734743,0.7940749925608394,2.021936674986684,1.5166964536234449,0.11456154465004018,0.08753016894609808,0.07433628318584065,0.059613837489943665
68,68,0.8181818181818182,0.8097138413775096,0.7615149502048333,0.8578841861739014,1.5984563221837904,-0.1864148802108775,1.1070877173653073,1.9215825930422599,1.3778474708553399,0.10563153660498799,0.06854384553499601,0.06186645213193891,0.057441673370877
69,69,0.7996781979082864,0.7921344002592843,0.7474395810644855,0.8516347290126747,1.2877620482739596,-0.03889432163917344,0.6761150509094059,2.1448970315648985,1.6503482910222729,0.0950120675784393,0.07409493161705552,0.06862429605792437,0.05655671761866452
70,70,0.8004827031375704,0.7920190781736227,0.7452472089314195,0.8494127881687691,1.090018657775837,-0.1112218101422811,0.9793436792106465,2.468664666788249,1.4005041677848138,0.09098954143201934,0.060981496379726455,0.04215607401448115,0.04778761061946908
71,71,0.8004827031375704,0.7919182435997768,0.7496350469021755,0.8394320417415106,1.7376067901825842,-0.42572198821940205,0.5314946949239354,2.3452999381263684,1.6390306699301058,0.08559935639581659,0.06291230893000804,0.05430410297666936,0.06025744167337087
72,72,0.8109412711182623,0.8030407532520982,0.7515747330960854,0.850403321470937,2.026702823101182,-0.2770906122612578,0.6942737811914672,1.896759133191911,1.6457549511544676,0.10241351568785202,0.07127916331456155,0.06339501206757846,0.05478680611423982
73,73,0.8141592920353983,0.8057927183083843,0.7502701631785598,0.8404566358080281,1.7582577566650306,-0.37811642953748864,1.0238729736126186,2.010300969819589,1.5453309158519113,0.09629927594529368,0.07184231697506037,0.05317779565567184,0.05856798069187456
74,74,0.8165728077232502,0.8072796927847643,0.7627153029385207,0.8600288023041843,1.5785974408723813,-0.19635240251745892,0.9216282252992327,1.8772819002979666,1.6024905986683498,0.0955752212389381,0.07497988736926793,0.0478680611423975,0.056074014481094205
75,75,0.8181818181818182,0.8106633497777068,0.7682976879276301,0.8687720990035357,1.3445855225467007,-0.23553523275358842,0.9534583087190963,1.9003473455966837,1.8349112222330144,0.10080450522928404,0.07900241351568787,0.06564762670957369,0.06339501206757851
76,76,0.8181818181818182,0.8114913154540324,0.7677890428797322,0.8549756999348898,1.2240948826345395,-0.12838901095374422,0.9513466570387016,2.505334199808106,1.2754088310888774,0.10836685438455355,0.07715205148833472,0.06822204344328242,0.0703942075623492
77,77,0.8230088495575221,0.8157817764958795,0.7634175879517495,0.8649278160147725,1.4971751753197104,-0.27080666866991643,0.7430440231142522,2.091692157618862,1.7662505330105276,0.10539018503620268,0.08205953338696693,0.06975060337892192,0.059050683829444874
78,78,0.7964601769911505,0.7863519069389536,0.7451107239905739,0.8498996493364452,1.525495984887715,-0.1745246743484343,0.9089067614618169,2.1518546915920376,1.472490897854384,0.08744971842316977,0.06701528559935639,0.04288012872083672,0.05921158487530167
79,79,0.8197908286403862,0.8140060821659006,0.770797587327614,0.8661347465815594,1.212825511766788,-0.5265105946066765,1.1700266186372514,2.3574814704629277,1.7014093493980273,0.09629927594529368,0.07626709573612234,0.06363636363636371,0.05784392598551898
80,80,0.827031375703942,0.8202984643783232,0.7755958458531462,0.8802853058724001,1.8895095645877862,-0.13584001734287837,0.8769149477503559,1.887008311709748,1.2891487371709023,0.10032180209171353,0.08390989541432012,0.07200321802091711,0.06307320997586482
81,81,0.8181818181818182,0.8119873029860913,0.7691767068273092,0.862580757813864,1.6995286448631022,-0.33604041552223773,0.6393424430604128,2.055571286676502,1.6404698243933948,0.1042638777152052,0.059694288012872174,0.06508447304907487,0.0572003218020918
82,82,0.825422365245374,0.8171319263991146,0.7746828044364611,0.8706583411741224,1.0494360127673457,-0.3549197955486863,0.9587612164733863,2.2193458753166198,1.9386642337951585,0.10241351568785191,0.08632341110217209,0.07264682220434429,0.0658889782783588
83,83,0.8133547868061143,0.8031459465491714,0.7526956642918111,0.8566957571956964,1.3598680217589882,-0.3688692277103951,1.009205418421513,1.9422787512874469,1.8759751069436696,0.08680611423974258,0.05993563958165733,0.05349959774738542,0.05245374094931624
84,84,0.83266291230893,0.8271761038589346,0.7731042434283736,0.868595291673879,1.6099580283370605,-0.08780096967625203,0.5222237236700957,2.114401079654389,1.508116521812047,0.0930812550281576,0.06645213193885759,0.064923572003218,0.04835076427996778
85,85,0.8101367658889783,0.8032084447041734,0.7621702369472378,0.8571342471414796,0.9731968751612043,-0.4861633603426568,0.8942091639982528,2.593064843384685,1.9399888521389996,0.10345937248592121,0.085277554304103,0.04907481898632349,0.05084473049074826
86,86,0.8238133547868061,0.8168137743288468,0.7717828359644062,0.8688601015133769,1.3749081183913137,-0.3031418348621531,1.0127916210208292,2.046242393739564,1.7247859501324856,0.10659694288012866,0.08439259855189049,0.0644408688656476,0.06331456154465001
87,87,0.8149637972646823,0.8081555844571957,0.7595841157202008,0.8570468128964999,0.4485865235228826,-0.39287726727010086,1.109220421885994,2.6939582559064092,1.9300537999486094,0.08913917940466616,0.08994368463395015,0.061142397425583306,0.06009654062751415
88,88,0.8101367658889783,0.8037094237044217,0.7590641376567472,0.8595738583192962,1.751840061694018,-0.06941419568058432,0.955104987615212,1.9972297122431322,1.0690457187387064,0.10772325020112636,0.07119871279163316,0.05985518905872892,0.04609814963797272
89,89,0.8093322606596943,0.8032897586653942,0.7607313311215878,0.8451487107851696,1.1415604396896626,-0.16466263515276652,1.0320952453719834,2.7530111387575147,1.106528675611931,0.10925181013676595,0.08390989541432022,0.05969428801287212,0.06975060337892197
90,90,0.8012872083668544,0.7948380024611895,0.7515085805971538,0.8636260580411125,1.11177802879422,-0.19717574422769116,1.3026610580052973,2.0915967531758217,1.6461996152964824,0.0945293644408689,0.06709573612228478,0.05285599356395819,0.041512469831053965
91,91,0.8133547868061143,0.8038106179331833,0.7446705251100258,0.8421745945620064,1.0442910206100822,-0.3331445484641046,1.2546344776296736,2.9110611155412447,1.0732725836410497,0.10185036202735323,0.07312952534191472,0.05478680611423982,0.05599356395816578
92,92,0.82864038616251,0.8196430689818688,0.7637008005835471,0.8599965321997213,1.2652397396150532,-0.19021390419072512,0.88551369273762,2.3326940081897076,1.4920453645065648,0.09646017699115036,0.07602574416733705,0.05591311343523729,0.04754625905068379
93,93,0.8093322606596943,0.8023405381698276,0.7628745758845836,0.8662646480198444,1.7155841855125273,-0.08022593304806125,0.654981253487016,1.9370636509219459,1.4869013207616177,0.1046661303298472,0.06999195494770717,0.0549477071600966,0.04899436846339507
94,94,0.8390989541432019,0.8327751201125325,0.7864840864300972,0.874284567908519,1.438146576198278,-0.24129905732055143,0.6525506865346912,1.9428305854865873,2.0295469063410723,0.11713596138374896,0.09999999999999995,0.07401448109412712,0.06436041834271922
95,95,0.8165728077232502,0.8094489092890266,0.7673737954839638,0.8628016683445996,1.56312552548266,-0.014582094325713,0.9442979516681664,1.8644469043817309,1.3737424906607516,0.10699919549477077,0.07835880933226066,0.055349959774738625,0.06242960579243771
