,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_humidity_fd3_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_temperature_fd1_scaled
0,0,0.96,0.9601417691609883,0.9393166751657318,0.9884412714601394,1.7102567686830161,2.4708877903697286,0.9154540731641929,0.9458650723643421,2.002292411610358,0.11236363636363633,0.06472727272727269,0.027636363636363605,0.008727272727272684,0.00727272727272722,0.002545454545454484,-0.0003636363636363993,-0.001454545454545475
1,1,0.96,0.9606561228002672,0.95412267471091,0.9952237305178482,1.7806987056891619,2.1517089395540423,0.2900311710141224,1.6794553696853158,1.8562259012473403,0.12363636363636359,0.12109090909090907,0.023999999999999966,0.003999999999999937,-0.002181818181818218,-0.008363636363636417,0.0032727272727272163,-0.008000000000000052
2,2,0.9636363636363636,0.9638548273431994,0.9522128060263653,0.9937225360954175,1.8632341991729857,3.1660417532930456,1.0870320919048553,1.5113649445530588,0.5485849019231926,0.13745454545454544,0.08581818181818182,0.0236363636363636,0.011272727272727235,0.003999999999999992,0.004727272727272724,0.014545454545454528,0.0014545454545454306
3,3,0.9345454545454546,0.9353518233179251,0.9133671334299049,0.9904233059713504,1.9383825891027853,3.1056749359378135,0.8735440710331157,1.4095070037119033,0.7016670195249105,0.1130909090909091,0.061090909090909105,0.03345454545454548,-0.02109090909090906,-0.007999999999999985,-0.0014545454545454306,-0.006909090909090887,-0.009818181818181781
4,4,0.9745454545454545,0.9744753279147649,0.9616409952606635,0.9968157582938388,1.906621381407285,3.331217413110986,1.1716972716845724,-0.0673973363958343,1.2907006288861091,0.14218181818181813,0.09018181818181811,0.03199999999999995,0.010181818181818125,0.008727272727272672,0.025454545454545396,0.00618181818181811,0.009454545454545405
5,5,0.9454545454545454,0.9452560922223843,0.9087625361210268,0.9912459629440762,1.9548586892518438,3.0181940853008498,1.0546733891025106,0.7240763775586487,1.344979118623867,0.11818181818181817,0.05309090909090906,0.02290909090909089,0.014909090909090894,0.0021818181818181624,0.0003636363636363549,0.006909090909090887,0.001454545454545464
6,6,0.9890909090909091,0.989118840266133,0.9876395534290271,0.9971726837755546,2.445125566403059,2.4043547660951012,0.9733197305330606,0.594197812920899,1.2068911557933137,0.14290909090909096,0.11781818181818182,0.029454545454545476,0.010181818181818247,0.01345454545454552,0.001454545454545475,0.004727272727272758,0.004000000000000026
7,7,0.9454545454545454,0.9465009752645644,0.925890234948605,0.986784140969163,2.248219459228358,2.4209828992217175,1.2418088636548623,1.3711314276790842,1.3717881414004505,0.10836363636363636,0.06363636363636362,0.02036363636363634,-0.0029090909090909167,0.0029090909090908725,-0.004727272727272747,-0.007636363636363686,-0.0061818181818182215
8,8,0.96,0.9601381347646092,0.9401290430702196,0.991955756661639,2.206480221195922,3.27869926229773,0.8033258898504578,1.1639275600841557,0.5581358592957206,0.10909090909090906,0.09999999999999998,0.020727272727272684,0.0007272727272726875,0.0025454545454544953,-0.0021818181818181958,0.005090909090909024,-0.0014545454545454861
9,9,0.9454545454545454,0.9456948280477693,0.9048309178743961,0.9860869565217392,2.6372783560435478,1.5380460700523466,1.8232916916639401,0.36105280872652784,2.346874038647751,0.0818181818181818,0.06363636363636362,0.014545454545454528,0.011636363636363622,0.0029090909090909167,-0.0021818181818181958,0.0003636363636363549,-0.0014545454545454861
